title,url,category,tags
Dapper,dapper,api,
Dapper - Execute,execute,api,
Dapper - Query,query,api,
Dapper - QueryFirst,queryfirst,api,
Dapper - QueryFirstOrDefault,queryfirstordefault,api,
Dapper - QuerySingle,querysingle,api,
Dapper - QuerySingleOrDefault,querysingleordefault,api,
Dapper - QueryMultiple,querymultiple,api,
Dapper - Parameter Anonymous,parameter-anonymous,api,
Dapper - Parameter Dynamic,parameter-dynamic,api,
Dapper - Parameter List,parameter-list,api,
Dapper - Parameter String,parameter-string,api,
Dapper - Result Anonymous,result-anonymous,api,
Dapper - Result Strongly Typed,result-strongly-typed,api,
Dapper - Result Multi-Mapping,result-multi-mapping,api,
Dapper - Result Multi-Result,result-multi-result,api,
Dapper - Result Multi-Type,result-multi-type,api,
Dapper - Stored Procedure,stored-procedure,api,
Dapper Plus,dapper-plus,api,
Dapper Plus - Bulk Insert,bulk-insert,api,
Dapper Plus - Bulk Update,bulk-update,api,
Dapper Plus - Bulk Delete,bulk-delete,api,
Dapper Plus - Bulk Merge,bulk-merge,api,
Dapper Contrib,dapper-contrib,api,
Dapper Contrib - Get,get,api,
Dapper Contrib - GetAll,getall,api,
Dapper Contrib - Insert,insert,api,
Dapper Contrib - Update,update,api,
Dapper Contrib - Delete,delete,api,
Dapper Contrib - DeleteAll,deleteall,api,
Dapper Contrib - Data Annotation Key,data-annotation-key,api,
Dapper Contrib - Data Annotation ExplicitKey,data-annotation-explicitkey,api,
Dapper Contrib - Data Annotation Table,data-annotation-table,api,
Dapper Contrib - Data Annotation Write,data-annotation-write,api,
Dapper Contrib - Data Annotation Computed,data-annotation-computed,api,
